Year,Day,Temperature,Score
1984,179,221.71,35.18714285714286
1984,182,221.36,33.35857142857143
1980,140,226.81,31.955714285714276
1982,239,224.73,31.715714285714306
1984,180,222.58,31.584285714285702
2011,206,228.62,31.438571428571414
1984,183,225.33,30.825714285714273
1980,242,230.81,30.69142857142857
1980,147,224.33,30.25857142857142
1997,139,229.55,29.47428571428571
2003,147,232.3,29.045714285714272
1979,176,230.71,29.025714285714283
2003,146,235.18,28.84142857142857
1997,184,221.95,28.760000000000016
2011,240,229.75,28.45571428571429
1982,236,234.43,28.147142857142853
1999,245,231.85,28.079999999999995
1999,224,231.82,27.902857142857147
2012,199,273.43,27.53000000000001
1983,120,240.18,27.27571428571428
1999,223,226.85,27.198571428571434
2000,266,237.92,27.188571428571446
1980,148,228.25,27.130000000000003
1991,141,232.23,26.88428571428572
2008,108,244.03,26.88
1981,159,223.86,26.789999999999985
1986,181,269.96,26.789999999999974
1985,147,231.73,26.73000000000001
2003,166,226.3,26.58857142857141
1995,223,229.86,26.56714285714284
1982,237,232.5,26.47
1984,168,229.33,26.425714285714275
1987,141,232.98,26.40285714285715
1980,180,270.98,26.248571428571445
1986,180,269.09,26.131428571428547
1984,204,270.36,26.067142857142873
1981,209,228.76,26.051428571428577
1990,149,230.36,25.871428571428567
2012,256,235.2,25.842857142857152
2012,257,235.7,25.834285714285727
1988,153,234.33,25.748571428571427
2003,165,230.85,25.727142857142866
1987,225,228.63,25.669999999999998
1979,134,239.23,25.64714285714287
1980,141,227.83,25.5942857142857
1982,227,230.08,25.45571428571427
1981,158,226.18,25.379999999999995
1985,146,233.28,25.372857142857146
1984,181,226.25,25.19
1997,275,235.75,25.16285714285713
2009,229,225.8,25.121428571428563
1986,159,271.76,25.044285714285703
2013,138,239.75,24.978571428571428
1980,229,225.4,24.930000000000003
2012,125,239.3,24.854285714285705
1987,236,234.73,24.76857142857144
2000,240,229.92,24.585714285714307
1997,236,272.62,24.57142857142858
1995,222,229.8,24.565714285714286
1979,132,241.0,24.52999999999999
1985,154,228.78,24.525714285714283
1995,224,234.03,24.508571428571432
1982,147,271.83,24.492857142857122
1992,155,238.33,24.482857142857117
2011,161,234.2,24.470000000000006
1986,278,237.11,24.42999999999999
1980,241,230.36,24.408571428571413
1988,246,233.56,24.36857142857142
2003,119,245.7,24.361428571428583
1981,150,232.31,24.24285714285714
1998,189,267.75,24.21857142857143
2006,176,230.83,24.12714285714285
2013,277,237.87,23.984285714285722
1987,195,235.18,23.768571428571413
1981,151,228.38,23.761428571428578
2012,201,268.0,23.745714285714282
1983,202,269.41,23.66857142857145
1987,140,238.84,23.529999999999998
1980,146,232.25,23.52285714285714
1981,160,228.75,23.43142857142858
1993,233,231.45,23.40571428571431
1988,221,236.93,23.39285714285713
1994,110,245.68,23.37285714285713
1997,140,241.17,23.35000000000002
1984,184,229.68,23.33857142857142
1997,186,227.7,23.328571428571443
1984,152,270.21,23.311428571428547
1986,277,237.21,23.308571428571423
1998,184,270.12,23.287142857142864
1998,185,269.99,23.282857142857154
2011,211,236.72,23.27714285714286
2006,242,232.63,23.15142857142857
1998,157,271.82,23.128571428571412
1983,167,268.73,23.124285714285737
1983,180,229.55,23.091428571428562
1996,209,268.78,23.04428571428568
1999,246,234.67,23.040000000000017
1982,173,234.61,23.022857142857127
1983,207,268.78,23.004285714285686
1989,155,273.46,22.97571428571427
1984,185,232.98,22.881428571428586
1994,168,225.73,22.880000000000017
1986,158,271.93,22.877142857142854
1984,220,235.15,22.871428571428567
2002,175,269.9,22.851428571428556
2000,221,231.17,22.794285714285728
1985,155,234.16,22.699999999999996
1997,187,229.35,22.69428571428573
1983,225,271.03,22.694285714285684
1983,256,238.63,22.681428571428587
2013,234,236.45,22.677142857142876
1996,133,235.48,22.654285714285727
2008,153,243.59,22.639999999999997
1991,140,237.68,22.63714285714286
1986,172,271.34,22.62571428571426
1983,190,268.66,22.615714285714308
2003,159,231.15,22.609999999999996
2013,195,268.97,22.57714285714288
1979,144,234.28,22.570000000000004
2002,276,235.75,22.549999999999994
1993,144,235.8,22.53
1988,201,229.68,22.515714285714274
1984,161,262.8,22.507142857142867
1998,146,232.4,22.490000000000002
1980,224,228.83,22.479999999999993
2003,167,228.93,22.429999999999996
1979,194,229.23,22.401428571428585
1983,119,246.68,22.277142857142856
1979,183,230.5,22.275714285714287
1998,240,233.07,22.27142857142858
2006,223,241.4,22.271428571428565
2006,268,242.08,22.251428571428562
1983,121,246.65,22.24571428571428
1983,118,247.13,22.22857142857143
2003,282,243.2,22.227142857142876
1987,229,231.68,22.225714285714286
1988,179,239.71,22.21
1989,133,236.88,22.188571428571432
2001,251,269.54,22.184285714285732
1980,181,264.43,22.17142857142857
1992,129,241.45,22.09571428571431
2005,190,234.58,22.082857142857137
1982,238,236.81,22.079999999999995
2003,281,246.3,22.057142857142846
1991,165,270.25,22.05285714285714
1981,149,232.81,22.041428571428575
1983,125,245.73,21.978571428571435
1981,208,231.83,21.95571428571427
1982,149,271.3,21.947142857142865
2009,204,234.35,21.921428571428567
2007,149,234.43,21.917142857142853
1983,116,248.33,21.915714285714284
1997,269,240.67,21.888571428571435
1996,148,270.75,21.879999999999992
1984,151,268.31,21.785714285714285
1984,229,263.1,21.74428571428573
2011,203,271.62,21.657142857142862
1982,148,270.93,21.64714285714286
1997,230,240.25,21.645714285714302
1997,183,228.99,21.64285714285714
2012,258,236.7,21.638571428571435
2008,126,246.65,21.601428571428574
1999,244,240.35,21.58428571428571
2001,228,270.39,21.507142857142842
2008,152,240.93,21.497142857142855
1979,136,238.36,21.45857142857141
2013,276,242.67,21.370000000000015
2000,255,273.27,21.35999999999998
1983,179,235.21,21.32857142857143
2001,178,238.03,21.324285714285725
2011,195,230.57,21.308571428571444
2011,200,235.3,21.299999999999986
2006,180,270.38,21.297142857142852
1997,173,272.97,21.287142857142886
1992,210,234.78,21.24714285714285
1983,135,243.75,21.23428571428571
1982,252,239.66,21.22857142857143
1997,175,266.9,21.181428571428548
1999,187,268.37,21.178571428571427
1986,279,238.71,21.115714285714272
1990,177,269.75,21.10571428571428
2012,127,245.34,21.054285714285705
2011,253,238.25,20.980000000000008
1999,186,266.72,20.957142857142887
1985,206,265.36,20.948571428571437
1989,154,270.46,20.93999999999998
1999,243,242.07,20.928571428571438
1998,132,237.57,20.920000000000012
1991,252,241.58,20.884285714285703
2005,173,230.65,20.832857142857133
2012,200,272.15,20.81428571428569
1981,245,238.43,20.809999999999995
1997,185,230.12,20.80142857142857
1982,200,267.21,20.759999999999973
1983,224,266.66,20.754285714285736
1995,162,271.5,20.751428571428566
1995,213,237.61,20.734285714285694
1995,163,268.41,20.731428571428598
1996,233,272.23,20.71428571428573
2011,212,237.05,20.704285714285703
1999,174,233.29,20.65714285714287
1984,153,267.23,20.648571428571444
1979,158,264.63,20.648571428571422
2010,118,248.25,20.58428571428572
2012,198,267.6,20.552857142857167
1994,128,241.38,20.550000000000004
1985,194,267.11,20.521428571428583
1997,171,232.45,20.491428571428578
2004,201,269.18,20.480000000000008
1994,254,272.53,20.47142857142854
2007,150,238.88,20.44285714285715
1997,284,242.25,20.38999999999999
2004,203,269.93,20.37571428571429
1989,147,270.48,20.32857142857144
1999,191,268.5,20.319999999999993
1980,228,231.4,20.311428571428568
1987,231,234.4,20.298571428571417
1984,219,238.61,20.27714285714284
1986,236,271.46,20.258571428571404
1989,153,272.16,20.257142857142885
1996,210,265.03,20.257142857142835
1990,178,269.0,20.25
1986,206,230.94,20.20857142857144
2001,132,241.87,20.208571428571425
1981,227,270.03,20.201428571428544
2004,249,272.45,20.194285714285705
2013,221,267.65,20.175714285714264
