Year,Day,Temperature,Score
1993,60,283.41,11.382857142857167
1993,49,282.5,11.344285714285718
1993,50,283.71,11.13999999999997
1992,56,266.96,10.668571428571445
1993,61,283.58,9.845714285714264
1984,360,266.63,9.812857142857142
1988,68,282.81,9.671428571428587
1992,55,266.8,9.671428571428562
2003,46,267.93,9.591428571428569
2002,31,266.5,9.574285714285727
1988,60,282.8,9.57428571428572
1979,361,282.71,9.475714285714266
1983,40,282.88,9.402857142857142
1990,327,285.31,9.274285714285716
1996,43,282.41,9.225714285714307
2000,15,283.14,9.19714285714284
1996,48,283.25,9.178571428571429
2005,43,282.53,9.132857142857128
1990,343,284.5,9.057142857142853
1996,49,283.31,9.048571428571424
1991,32,267.88,8.972857142857151
1985,66,268.16,8.95142857142855
1994,39,266.31,8.945714285714287
1988,67,282.13,8.861428571428585
1994,41,266.5,8.845714285714289
1992,112,271.78,8.844285714285734
1993,55,283.13,8.815714285714275
2005,47,282.05,8.807142857142878
1981,330,286.55,8.805714285714284
2005,348,285.6,8.780000000000014
2008,341,286.93,8.750000000000009
1984,12,269.16,8.72999999999997
1993,56,284.1,8.712857142857176
1996,338,286.75,8.654285714285711
1996,322,286.38,8.647142857142862
1991,46,282.13,8.569999999999984
2003,48,268.43,8.551428571428564
2006,15,283.25,8.550000000000002
1983,49,280.98,8.54571428571431
1992,33,282.16,8.54000000000002
1995,330,286.05,8.524285714285734
1997,56,270.14,8.510000000000007
2008,21,268.75,8.479999999999986
2000,21,284.14,8.458571428571402
2005,42,283.1,8.45714285714288
2005,48,282.0,8.42428571428571
1985,37,267.08,8.408571428571447
1994,15,281.93,8.365714285714294
1984,13,268.96,8.36285714285717
1990,49,264.75,8.357142857142858
1981,4,282.58,8.342857142857131
1993,13,268.16,8.309999999999977
1993,45,283.03,8.301428571428533
1992,32,282.21,8.28714285714283
1992,113,272.23,8.28714285714283
1988,58,282.68,8.207142857142864
1985,63,268.1,8.18857142857141
1990,46,267.73,8.167142857142844
1985,0,268.3,8.147142857142844
1990,342,282.73,8.13142857142859
1997,76,271.32,8.131428571428573
1996,323,285.98,8.128571428571442
1986,72,269.06,8.098571428571429
1999,38,281.24,8.095714285714289
1988,59,281.88,8.07571428571429
1991,55,268.55,8.064285714285704
2003,315,276.2,8.042857142857153
2013,11,283.35,8.037142857142872
2000,16,283.45,8.01285714285714
1990,58,267.96,8.008571428571454
2012,18,281.27,7.999999999999967
2008,326,287.15,7.997142857142819
1996,69,270.86,7.981428571428556
2008,347,285.4,7.967142857142846
1981,13,282.18,7.964285714285722
1983,36,282.71,7.9642857142856895
2003,76,269.82,7.948571428571443
2010,27,282.1,7.947142857142873
1992,7,281.46,7.947142857142841
1996,28,280.63,7.932857142857131
1998,30,280.67,7.925714285714297
2007,347,271.98,7.915714285714257
1993,48,280.25,7.910000000000001
2002,30,268.4,7.898571428571456
1993,83,269.53,7.884285714285738
1990,336,284.9,7.809999999999986
1994,43,267.61,7.807142857142845
2010,343,283.17,7.802857142857151
1982,58,269.63,7.781428571428576
1983,354,269.25,7.775714285714287
1998,359,271.17,7.77285714285713
1996,321,286.65,7.744285714285695
1991,47,281.31,7.732857142857134
1994,92,270.03,7.715714285714308
1982,57,270.63,7.712857142857144
2010,348,282.4,7.7128571428571195
1992,324,272.86,7.7114285714285655
2005,68,282.45,7.697142857142849
1993,75,268.8,7.684285714285701
1992,80,283.21,7.681428571428553
2008,360,269.5,7.678571428571429
1988,69,280.78,7.671428571428545
1984,22,267.98,7.667142857142835
1981,12,282.38,7.664285714285711
2003,94,271.22,7.65714285714282
1981,339,284.36,7.650000000000001
1995,8,283.1,7.637142857142886
2008,48,269.07,7.628571428571433
1986,69,267.22,7.618571428571394
1990,33,268.18,7.6171428571428565
1991,41,280.86,7.6157142857142945
1981,344,282.61,7.605714285714295
1991,59,268.43,7.594285714285702
1981,290,288.81,7.578571428571438
1986,68,267.96,7.56000000000001
1995,312,286.73,7.558571428571448
1993,9,267.91,7.5485714285714005
1984,23,269.25,7.532857142857146
2013,363,270.25,7.525714285714287
1996,56,283.28,7.51428571428571
2005,35,282.32,7.507142857142859
1983,39,281.98,7.505714285714297
2009,77,271.58,7.485714285714307
2001,357,283.49,7.48285714285715
2001,56,281.72,7.471428571428605
2003,58,270.5,7.471428571428573
1988,57,281.7,7.469999999999986
1992,88,282.63,7.467142857142846
1985,36,269.25,7.465714285714284
2005,347,284.58,7.4585714285714095
1991,321,286.73,7.4528571428571695
2007,348,271.8,7.43857142857142
2004,53,280.83,7.431428571428553
2001,55,282.07,7.42714285714285
1995,83,283.63,7.425714285714288
2002,68,270.4,7.420000000000024
1983,72,281.4,7.412857142857116
1995,45,269.66,7.409999999999984
2008,333,285.98,7.407142857142885
1984,37,281.03,7.402857142857125
1981,350,282.86,7.400000000000026
1983,13,281.5,7.3814285714285734
1993,54,282.23,7.375714285714309
2000,14,282.4,7.364285714285684
2002,32,269.95,7.355714285714295
1984,36,281.8,7.351428571428577
1993,46,280.63,7.338571428571413
1995,73,283.48,7.334285714285735
1992,61,269.3,7.328571428571414
2008,332,286.31,7.314285714285721
2010,42,281.45,7.305714285714283
1983,59,269.25,7.305714285714275
1981,59,282.03,7.2999999999999785
1985,57,270.13,7.298571428571433
1991,7,267.16,7.289999999999972
1989,307,287.75,7.282857142857138
1985,1,269.66,7.282857142857113
2010,349,283.95,7.268571428571428
1997,3,281.39,7.257142857142859
1993,33,280.46,7.254285714285694
1995,46,270.93,7.247142857142843
2010,28,282.57,7.234285714285696
1980,53,269.0,7.225714285714283
2008,346,284.6,7.222857142857167
1990,87,270.96,7.222857142857159
1996,337,286.0,7.219999999999994
1995,7,281.5,7.2099999999999955
1993,37,280.38,7.2099999999999955
1984,38,281.16,7.2000000000000295
1996,41,279.61,7.200000000000013
2005,49,281.97,7.198571428571451
1981,60,280.38,7.197142857142841
1992,72,281.0,7.194285714285717
1983,85,283.08,7.1942857142857
1994,50,268.21,7.180000000000031
1991,79,282.23,7.177142857142875
2007,350,274.08,7.172857142857156
2011,331,274.8,7.172857142857132
1985,104,271.0,7.17142857142857
1993,299,276.38,7.165714285714297
1993,62,281.71,7.161428571428554
1992,83,281.18,7.15428571428572
2005,38,281.43,7.150000000000001
2005,102,283.97,7.147142857142886
1981,11,282.23,7.13857142857144
2001,356,283.32,7.1357142857142675
2000,314,288.1,7.127142857142879
1983,4,269.05,7.119999999999981
2000,312,287.1,7.1114285714286
1984,60,279.96,7.104285714285685
1999,347,283.37,7.102857142857147
1996,44,281.88,7.102857142857139
2003,314,276.1,7.09999999999999
2000,321,286.75,7.095714285714296
1989,67,268.71,7.082857142857149
2008,78,283.35,7.077142857142884
1992,71,282.08,7.065714285714274
1986,73,270.06,7.059999999999994
