Year,Day,Temperature,Score
1998,210,232.95,21.755714285714276
1991,211,230.33,21.661428571428583
1997,169,233.97,21.132857142857144
1992,170,233.33,21.014285714285727
2008,98,232.65,20.551428571428573
1989,263,232.86,20.121428571428584
1995,189,231.28,20.01142857142857
1990,117,233.86,19.73857142857144
1984,128,232.11,19.654285714285724
2013,222,231.35,19.652857142857133
1991,212,229.65,19.63
1993,169,198.75,19.130000000000003
1984,176,193.86,19.03285714285713
1983,170,229.21,18.975714285714293
1988,168,231.41,18.90142857142857
2010,103,200.02,18.562857142857133
2001,142,230.42,18.474285714285706
1993,195,194.93,18.092857142857135
2002,145,231.23,17.909999999999993
2003,187,227.5,17.907142857142855
2011,240,230.45,17.894285714285708
2011,239,228.75,17.744285714285713
1981,107,202.23,17.578571428571443
1993,168,198.63,17.564285714285724
1991,142,228.65,17.544285714285724
2002,149,232.8,17.43857142857144
1981,214,227.65,17.417142857142863
2002,147,231.09,17.340000000000003
2013,220,229.35,17.29857142857142
2002,148,231.3,17.21428571428573
2013,126,203.05,17.201428571428558
1984,177,197.46,17.199999999999992
1992,168,232.08,17.18857142857144
1989,262,227.68,17.17428571428572
2013,122,203.35,17.111428571428576
1988,167,227.73,17.10571428571427
1980,262,226.36,17.104285714285727
1990,118,230.78,17.024285714285718
1992,171,229.93,16.762857142857147
2001,193,227.55,16.67285714285716
1983,201,199.5,16.64428571428572
2009,141,229.13,16.63857142857142
2003,305,244.73,16.565714285714275
1995,209,230.58,16.5557142857143
1989,242,227.55,16.527142857142866
1998,209,227.42,16.469999999999995
1995,190,226.71,16.377142857142864
2008,247,224.03,16.29000000000001
1992,169,231.11,16.281428571428584
2008,246,225.4,16.255714285714287
2009,145,230.78,16.142857142857142
1991,209,224.96,16.128571428571433
2004,123,200.05,16.115714285714272
1991,205,226.23,16.055714285714267
1993,151,225.48,16.04714285714284
2002,134,229.78,16.021428571428572
1991,215,226.78,16.018571428571427
2010,184,199.47,16.017142857142854
1980,234,225.36,16.015714285714296
1990,323,252.73,16.007142857142842
1996,238,225.58,15.975714285714304
1993,223,199.33,15.89285714285713
1982,309,243.61,15.871428571428586
2013,124,203.7,15.862857142857154
1987,178,225.74,15.82714285714286
1990,324,253.03,15.818571428571428
2013,255,226.45,15.787142857142843
2013,221,229.95,15.745714285714277
2009,225,230.43,15.74428571428572
2007,204,225.5,15.731428571428568
2008,240,200.95,15.510000000000007
1999,229,225.15,15.49714285714286
1987,88,229.39,15.44285714285713
2004,145,203.63,15.385714285714291
1980,106,230.28,15.349999999999994
1998,180,225.87,15.332857142857149
2013,123,205.07,15.32285714285715
