Year,Day,Temperature,Score
1995,43,263.93,24.58000000000001
2012,32,268.25,23.315714285714286
2001,331,265.74,23.25000000000001
1979,35,223.58,23.07999999999999
2012,346,264.9,23.065714285714257
2012,66,265.05,22.51285714285715
1979,36,224.05,22.298571428571417
1999,11,264.45,22.26428571428571
1985,69,266.0,22.127142857142854
1999,10,261.62,21.904285714285717
1995,42,262.3,21.871428571428577
1996,315,266.48,21.581428571428592
1990,93,272.28,21.575714285714263
1984,354,261.88,21.464285714285705
1979,34,225.11,21.37285714285713
2002,42,225.6,21.305714285714288
1981,350,266.0,20.791428571428575
1999,48,266.02,20.53999999999999
1999,9,259.99,20.472857142857148
2002,41,226.73,20.457142857142866
2012,31,263.35,20.274285714285735
2012,35,261.75,20.250000000000004
2003,73,266.7,20.12142857142856
1984,353,260.9,20.118571428571396
1989,83,267.43,20.02
1990,68,263.36,19.937142857142867
1981,87,268.63,19.79857142857142
2012,30,261.9,19.735714285714266
2003,72,264.98,19.60000000000002
1996,54,263.68,19.52571428571429
1993,57,265.55,19.35285714285715
2001,16,256.37,19.208571428571435
2011,71,265.97,19.207142857142884
2000,43,259.17,19.11428571428573
2012,44,257.57,19.105714285714278
2012,45,259.45,19.06142857142856
1999,49,264.77,19.024285714285693
1984,355,257.33,19.00714285714284
1979,343,262.18,18.96428571428572
2003,338,264.8,18.715714285714302
2011,72,265.32,18.691428571428563
1999,352,261.72,18.661428571428594
1979,342,260.73,18.660000000000018
1981,10,258.71,18.654285714285695
1981,3,257.41,18.647142857142878
1999,327,264.67,18.628571428571444
1995,44,256.96,18.61714285714284
1992,85,239.36,18.589999999999986
2002,43,227.43,18.478571428571424
1992,283,243.58,18.468571428571416
2001,88,236.47,18.324285714285715
1986,325,262.34,18.26714285714283
1993,14,260.73,18.26000000000002
1993,348,230.46,18.179999999999996
1983,19,260.91,18.164285714285732
2005,345,259.33,18.137142857142845
1998,66,266.05,18.122857142857153
1980,319,233.83,18.119999999999987
2006,19,264.75,18.108571428571427
2008,296,271.38,18.057142857142853
1990,163,289.88,17.981428571428562
1980,320,234.25,17.97857142857144
1994,364,258.06,17.954285714285714
1990,90,267.83,17.952857142857123
2012,350,265.32,17.91142857142856
1979,33,228.15,17.857142857142858
2013,19,236.75,17.775714285714287
1990,338,233.75,17.772857142857145
1993,15,260.73,17.621428571428588
2002,62,262.1,17.608571428571455
2011,312,240.15,17.599999999999984
1983,18,260.65,17.581428571428546
1995,68,233.63,17.55142857142858
1999,330,261.05,17.484285714285726
2000,22,259.25,17.455714285714286
2001,332,259.47,17.39857142857146
1987,20,230.03,17.388571428571428
1993,12,260.98,17.34857142857144
2012,345,256.6,17.261428571428603
1996,312,262.68,17.232857142857146
2001,102,243.97,17.218571428571433
2012,65,262.85,17.2057142857143
1990,71,266.88,17.202857142857134
1998,23,258.4,17.19857142857141
2000,34,260.2,17.165714285714277
2007,92,271.53,17.158571428571403
1980,359,260.08,17.148571428571408
2007,101,273.13,17.129999999999995
2000,21,258.22,17.071428571428605
1997,75,265.1,17.062857142857172
2008,34,259.57,17.04999999999999
1983,9,255.75,17.029999999999998
1990,91,269.0,16.991428571428575
1988,362,257.13,16.98428571428571
1993,322,262.03,16.98285714285712
1990,104,272.75,16.971428571428564
2000,23,259.64,16.967142857142846
2001,17,254.72,16.94857142857143
1980,360,256.98,16.92857142857144
2005,321,266.43,16.924285714285723
1984,337,232.73,16.917142857142867
1996,316,261.18,16.888571428571428
1999,351,259.0,16.882857142857144
2000,28,257.6,16.825714285714316
1985,313,264.58,16.78714285714284
2001,316,263.42,16.78000000000002
2000,35,257.02,16.729999999999986
2000,36,255.25,16.707142857142852
2011,85,271.17,16.68142857142858
1987,331,265.16,16.66571428571431
2013,32,233.27,16.66142857142856
2011,337,261.07,16.651428571428568
2013,20,237.4,16.641428571428573
1988,347,262.86,16.628571428571437
2011,339,256.5,16.61714285714286
1983,106,243.65,16.588571428571417
1993,11,259.03,16.58285714285711
2012,41,256.8,16.5557142857143
1988,348,262.53,16.54285714285711
1987,19,230.04,16.51285714285716
1984,356,255.08,16.48000000000001
1996,284,273.68,16.467142857142868
2008,32,259.55,16.414285714285732
1979,38,231.16,16.37428571428572
1991,198,298.23,16.360000000000014
2013,330,263.0,16.359999999999992
1988,43,257.55,16.350000000000005
2004,349,233.25,16.344285714285714
1981,27,258.13,16.334285714285706
1994,17,227.46,16.318571428571424
1985,314,264.68,16.315714285714286
2010,312,269.82,16.308571428571433
1998,359,257.42,16.29142857142859
1982,6,228.68,16.265714285714278
2004,34,230.28,16.237142857142853
2007,7,258.81,16.220000000000002
1981,86,263.38,16.19285714285714
1985,22,232.68,16.191428571428563
2005,346,257.38,16.182857142857138
1990,92,268.73,16.180000000000025
2000,37,253.03,16.15571428571429
2003,339,261.88,16.118571428571432
1998,65,261.37,16.117142857142863
2005,322,264.7,16.108571428571423
2006,351,258.55,16.104285714285727
1995,29,260.0,16.095714285714283
2002,46,258.92,16.084285714285734
1999,47,262.67,16.05285714285716
1981,83,264.46,16.048571428571403
2000,325,260.87,16.035714285714295
2003,340,259.4,15.988571428571403
1999,56,259.07,15.987142857142848
1992,282,247.51,15.972857142857151
2011,336,259.75,15.955714285714285
1985,316,265.16,15.951428571428595
1979,182,297.71,15.94142857142856
1993,10,256.48,15.922857142857156
2011,80,265.1,15.887142857142878
2000,29,257.32,15.869999999999996
1979,43,231.65,15.867142857142856
2010,2,234.62,15.857142857142852
2003,71,264.13,15.844285714285714
1985,317,264.43,15.838571428571433
1992,61,234.13,15.815714285714295
1992,355,257.5,15.807142857142859
1979,121,249.15,15.802857142857123
1990,61,260.55,15.784285714285724
1991,91,267.46,15.765714285714271
1988,346,260.41,15.74857142857145
2005,300,268.98,15.732857142857167
1997,302,264.55,15.728571428571431
1989,326,234.11,15.728571428571412
1983,74,263.78,15.7285714285714
1999,55,258.27,15.719999999999983
1984,336,232.95,15.71285714285716
1998,77,262.22,15.705714285714313
1987,18,229.38,15.668571428571434
1997,325,236.65,15.665714285714285
1979,37,231.21,15.618571428571423
1990,82,264.98,15.614285714285732
1988,361,257.56,15.607142857142858
2010,5,259.17,15.598571428571448
1981,106,271.78,15.559999999999974
1983,49,257.31,15.547142857142859
2001,103,245.28,15.540000000000004
1993,349,228.96,15.521428571428569
2003,347,259.68,15.478571428571431
2008,339,230.7,15.475714285714295
1990,162,287.71,15.462857142857112
2005,38,250.59,15.44142857142858
2008,87,273.27,15.43142857142856
1990,164,288.43,15.398571428571431
1986,52,258.16,15.395714285714307
1993,334,261.03,15.392857142857114
1996,336,262.88,15.388571428571424
2011,113,275.75,15.34
1981,69,235.13,15.328571428571435
1997,303,262.27,15.311428571428552
2004,342,236.2,15.301428571428577
1997,103,273.64,15.294285714285698
1980,25,228.31,15.284285714285716
1984,19,257.05,15.268571428571436
1997,300,269.02,15.237142857142828
1997,296,269.89,15.217142857142834
1998,78,263.52,15.208571428571409
2012,347,262.32,15.184285714285709
1981,291,271.55,15.152857142857158
1983,5,255.68,15.134285714285722
1979,54,234.38,15.107142857142861
1996,337,263.5,15.101428571428572
2006,330,258.16,15.098571428571448
1991,292,271.78,15.079999999999965
1991,293,273.75,15.062857142857151
1987,17,228.81,15.059999999999993
2003,79,262.4,15.055714285714263
1997,299,267.8,15.05142857142859
1993,350,228.83,15.044285714285703
1984,352,257.13,15.031428571428563
1984,18,257.0,14.992857142857137
2001,350,259.77,14.982857142857123
2008,31,257.2,14.9742857142857
2005,39,252.88,14.959999999999999
1997,51,235.1,14.954285714285719
1997,327,234.47,14.954285714285716
1992,72,264.25,14.937142857142858
1995,200,297.38,14.929999999999998
2011,73,259.93,14.894285714285717
1989,11,254.03,14.892857142857139
1979,40,233.78,14.889999999999999
1997,74,263.07,14.888571428571424
1995,89,269.68,14.885714285714297
2009,65,236.93,14.881428571428573
1984,62,260.75,14.875714285714281
1993,94,238.81,14.869999999999992
1990,330,236.48,14.868571428571439
1999,353,258.42,14.861428571428588
2010,310,271.43,14.860000000000005
1982,336,258.8,14.848571428571436
1991,98,267.11,14.827142857142864
2010,311,271.85,14.814285714285742
2004,354,260.85,14.812857142857164
2005,7,254.95,14.804285714285706
1985,341,258.28,14.792857142857107
2003,78,263.18,14.784285714285716
2000,44,256.47,14.775714285714315
2002,296,267.3,14.76714285714287
2004,348,233.65,14.762857142857131
1997,301,265.17,14.760000000000023
1981,26,257.36,14.760000000000016
2006,1,257.53,14.759999999999975
