Year,Day,Temperature,Score
2007,3,290.33,15.820000000000025
2002,37,290.72,14.982857142857117
2006,0,290.95,14.881428571428582
2012,8,292.43,14.347142857142858
2002,38,290.25,14.312857142857151
2007,4,293.0,13.648571428571431
2009,272,283.07,13.617142857142872
1980,298,285.31,13.194285714285716
2007,2,292.5,13.171428571428578
2012,9,293.18,13.145714285714282
1989,298,287.63,12.964285714285714
1999,349,289.95,12.910000000000016
1987,58,291.46,12.86714285714288
2012,7,293.95,12.762857142857156
2006,30,292.88,12.76
2003,61,289.1,12.684285714285684
2006,31,292.41,12.679999999999975
1992,323,285.23,12.581428571428555
1982,85,288.73,12.579999999999984
1995,294,288.5,12.50571428571428
1992,280,283.16,12.378571428571401
2010,287,288.17,12.258571428571404
2012,75,290.02,12.161428571428587
1987,59,292.21,12.128571428571442
1980,299,286.13,12.084285714285718
2001,79,291.32,11.972857142857151
2003,62,290.5,11.658571428571431
2013,356,293.55,11.58285714285714
1980,170,297.21,11.578571428571406
2001,78,292.02,11.55857142857144
2001,294,287.62,11.547142857142855
1999,350,291.2,11.514285714285734
2009,273,285.8,11.472857142857135
1990,121,302.03,11.4442857142857
1998,264,284.4,11.411428571428603
1987,131,281.38,11.407142857142853
1995,64,291.93,11.257142857142851
1986,223,278.91,11.208571428571418
1990,338,289.88,11.147142857142853
1995,65,292.58,11.12285714285716
1982,86,290.53,11.094285714285743
1985,109,286.96,11.091428571428594
1987,20,295.59,11.04857142857145
2010,288,289.2,11.038571428571434
2003,60,290.05,11.037142857142856
2007,86,288.98,11.014285714285693
2003,25,294.45,10.968571428571433
1995,312,287.63,10.947142857142865
2012,10,294.6,10.912857142857124
1997,8,294.37,10.90714285714286
2013,355,293.85,10.901428571428564
2002,59,291.1,10.894285714285688
1990,122,301.98,10.841428571428585
1979,246,282.4,10.807142857142878
2008,319,293.75,10.802857142857144
2003,101,288.9,10.770000000000023
2001,346,293.8,10.745714285714282
1987,130,281.61,10.721428571428548
1981,257,301.43,10.680000000000016
1983,12,294.88,10.659999999999993
1987,305,289.41,10.55571428571425
1983,9,295.46,10.54857142857144
1979,270,285.21,10.511428571428578
2001,347,293.02,10.507142857142883
1995,292,286.68,10.487142857142844
1981,258,299.81,10.480000000000002
1995,293,287.75,10.477142857142862
1998,272,302.12,10.475714285714291
1980,283,288.48,10.464285714285698
1985,205,294.73,10.444285714285725
1979,269,284.58,10.428571428571445
2002,39,293.8,10.425714285714273
2009,113,287.05,10.42428571428571
1998,157,296.42,10.395714285714291
2010,85,305.92,10.38285714285716
2010,303,288.75,10.374285714285723
1990,30,294.73,10.354285714285693
2006,32,292.15,10.344285714285727
1983,11,295.06,10.338571428571429
2006,117,286.03,10.320000000000025
2010,172,294.47,10.311428571428605
1988,13,296.91,10.308571428571408
2004,67,291.38,10.288571428571434
2000,316,291.3,10.264285714285709
1991,258,282.91,10.224285714285688
1989,339,308.3,10.215714285714293
2007,299,290.1,10.205714285714262
1992,228,278.98,10.199999999999989
1981,275,286.68,10.197142857142849
2000,118,285.82,10.182857142857147
1985,108,287.0,10.18285714285714
2010,171,294.25,10.098571428571429
1983,10,294.5,10.048571428571424
2007,300,287.78,10.044285714285738
1997,320,290.55,10.03714285714284
1979,122,284.65,10.021428571428592
2011,323,290.35,10.018571428571395
2009,303,306.1,9.995714285714305
1992,311,289.21,9.991428571428587
1994,58,291.38,9.988571428571431
1985,265,283.5,9.977142857142853
2004,240,281.27,9.972857142857167
2012,11,295.07,9.941428571428576
2004,290,304.77,9.93571428571427
1988,88,289.53,9.930000000000023
2013,364,296.52,9.908571428571438
1992,229,279.96,9.901428571428587
1987,57,295.59,9.884285714285738
2006,278,303.25,9.859999999999998
1989,74,292.75,9.82714285714286
2011,324,290.78,9.814285714285754
1987,60,293.66,9.80571428571426
1999,351,293.74,9.789999999999996
1988,90,291.23,9.78142857142855
2008,310,290.48,9.78142857142855
2012,270,285.0,9.778571428571427
1988,89,291.05,9.757142857142842
1992,334,294.78,9.721428571428598
1988,338,291.53,9.72142857142859
1999,258,283.3,9.721428571428564
1993,274,283.71,9.705714285714302
1985,60,309.5,9.700000000000005
2004,291,306.53,9.668571428571406
2007,267,285.1,9.667142857142819
2004,68,291.5,9.660000000000009
1990,127,299.73,9.658571428571454
1995,67,294.73,9.651428571428548
2013,57,293.57,9.637142857142862
2001,45,292.95,9.631428571428582
1995,80,292.03,9.60428571428574
1983,13,296.36,9.60142857142856
2006,1,295.85,9.601428571428544
2004,313,291.4,9.600000000000032
1995,66,294.46,9.600000000000007
2001,295,289.99,9.578571428571413
1995,295,290.55,9.564285714285704
1997,7,295.17,9.559999999999986
1998,138,299.32,9.558571428571415
1998,265,285.32,9.547142857142871
2012,87,305.43,9.527142857142865
1982,51,295.65,9.494285714285727
2000,119,285.6,9.492857142857117
2005,87,304.55,9.458571428571442
1980,278,287.0,9.457142857142864
2008,320,293.88,9.434285714285725
1992,240,281.41,9.422857142857124
2002,163,293.43,9.42
2009,274,288.17,9.408571428571415
2013,257,284.7,9.407142857142869
1993,51,294.23,9.407142857142844
1988,293,287.28,9.394285714285738
1994,354,293.98,9.388571428571415
1984,312,290.63,9.365714285714287
1988,91,291.96,9.364285714285748
2005,86,305.15,9.355714285714262
2012,79,291.95,9.352857142857156
1992,312,289.13,9.351428571428576
1995,122,285.46,9.344285714285743
1987,269,286.13,9.344285714285718
1979,195,293.43,9.334285714285718
1990,31,295.06,9.32714285714286
1999,53,293.97,9.327142857142835
2012,12,296.85,9.319999999999968
1992,5,295.61,9.311428571428573
1996,195,293.75,9.308571428571424
1985,295,289.11,9.295714285714268
1992,348,294.8,9.294285714285706
2000,50,293.97,9.28714285714283
2010,170,294.77,9.2842857142857
