Year,Day,Temperature,Score
1997,229,299.77,5.904285714285696
1997,228,299.65,5.7985714285714085
1997,236,299.39,5.268571428571412
1997,327,299.9,5.2228571428571104
1997,316,299.8,5.21285714285716
1997,326,299.82,5.2057142857142775
1997,218,299.8,5.174285714285718
1997,328,299.72,5.168571428571462
1997,347,300.22,5.142857142857167
1997,233,299.22,5.142857142857159
1997,227,299.05,5.141428571428581
1997,273,299.17,5.125714285714301
1997,248,299.2,5.121428571428559
1997,301,299.55,5.075714285714298
1997,232,299.17,5.067142857142869
1997,262,298.92,5.05714285714287
1997,205,299.97,5.042857142857177
1997,345,300.24,5.0428571428571525
1997,274,299.12,5.0399999999999965
1997,263,298.87,5.012857142857156
1997,324,299.65,4.999999999999976
1997,344,300.22,4.997142857142876
1997,346,299.99,4.98428571428572
1997,342,300.32,4.982857142857142
1997,323,299.7,4.982857142857134
1997,343,300.32,4.978571428571415
1997,315,299.7,4.977142857142845
1997,237,299.12,4.971428571428573
1997,249,299.0,4.968571428571432
1997,325,299.62,4.9599999999999955
1997,313,299.65,4.9599999999999795
1997,272,298.97,4.9542857142857475
1997,253,298.95,4.921428571428562
1997,225,299.1,4.917142857142884
1997,219,299.5,4.910000000000001
1997,321,299.72,4.904285714285736
1997,341,300.1,4.890000000000027
1997,217,299.42,4.881428571428581
1997,309,299.57,4.8814285714285575
1997,303,299.5,4.8785714285714255
1998,32,301.97,4.877142857142887
1997,314,299.67,4.8728571428571446
1997,231,298.95,4.857142857142841
1997,361,300.49,4.854285714285725
1997,337,299.82,4.854285714285709
1997,275,299.0,4.84428571428571
1997,216,299.35,4.837142857142867
1997,268,298.67,4.835714285714297
1997,238,299.05,4.82285714285715
1997,230,298.92,4.821428571428588
1997,264,298.85,4.818571428571447
1997,267,298.8,4.817142857142877
1997,270,298.82,4.807142857142854
1997,215,299.57,4.804285714285705
1997,234,299.05,4.802857142857159
1997,235,299.0,4.7942857142856985
1997,322,299.67,4.7900000000000045
1998,4,300.55,4.7885714285714345
1997,312,299.52,4.78571428571427
1997,308,299.32,4.782857142857138
1997,351,300.0,4.782857142857138
1997,271,298.72,4.781428571428592
1997,300,299.14,4.771428571428552
1997,206,299.75,4.765714285714296
1997,360,300.3,4.762857142857148
1997,302,299.27,4.761428571428561
1997,255,298.9,4.755714285714256
1997,239,298.92,4.751428571428586
1997,247,298.82,4.748571428571422
1997,305,299.32,4.742857142857133
1997,226,298.85,4.741428571428595
