Year,Day,Temperature,Score
1983,23,301.88,3.375714285714277
1983,22,302.03,3.2771428571428407
1983,66,302.21,3.2485714285714056
1983,44,302.23,3.200000000000029
1983,67,302.53,3.187142857142825
1983,16,301.71,3.184285714285701
1983,24,301.75,3.1528571428571417
1983,17,301.75,3.137142857142846
1998,32,301.57,3.134285714285698
1983,29,301.83,3.0157142857142714
1983,27,301.65,2.997142857142827
1983,49,301.68,2.8985714285714477
1983,30,301.33,2.8985714285714232
1998,30,301.35,2.872857142857161
1998,63,301.72,2.8657142857143105
1983,28,301.58,2.8642857142857077
1983,19,301.46,2.857142857142833
1983,50,301.75,2.855714285714295
1983,73,301.98,2.8285714285714465
1983,33,301.91,2.8171428571428936
1998,31,301.15,2.782857142857113
1983,18,301.41,2.7814285714285996
1983,15,301.3,2.7714285714285762
1983,7,301.36,2.741428571428571
1983,0,301.11,2.7242857142857297
1983,41,301.58,2.698571428571402
1983,25,301.46,2.675714285714264
1998,96,302.27,2.6542857142856957
1998,4,301.14,2.632857142857136
1983,21,301.46,2.6242857142856986
1983,43,301.61,2.615714285714286
1983,20,301.36,2.584285714285727
1998,64,301.55,2.5785714285714385
1998,36,301.17,2.5485714285714574
1983,48,301.5,2.544285714285723
1983,51,301.3,2.5342857142857076
1997,362,301.07,2.5285714285714187
1998,97,301.95,2.5271428571428567
1998,3,300.95,2.4985714285714136
1983,74,301.68,2.488571428571439
1998,94,301.74,2.4871428571428686
1983,6,301.03,2.484285714285688
1998,38,301.22,2.467142857142887
1983,45,301.5,2.4557142857142935
1998,95,301.8,2.4442857142857326
1998,39,301.12,2.442857142857146
1983,53,301.48,2.4342857142857333
1998,5,300.8,2.4328571428571553
1987,337,300.5,2.432857142857139
1983,13,300.83,2.424285714285702
1983,8,300.98,2.3928571428571592
1982,338,300.88,2.391428571428565
1998,17,300.64,2.385714285714268
1998,35,300.95,2.384285714285706
1983,34,301.23,2.38142857142859
1983,71,301.41,2.3757142857143094
1983,77,301.71,2.3642857142856997
1983,10,300.93,2.3600000000000056
1998,105,301.77,2.357142857142825
1998,131,301.49,2.3499999999999983
1997,341,300.67,2.3485714285714443
1983,4,301.03,2.348571428571412
1983,58,301.61,2.3471428571428663
1998,16,300.8,2.342857142857156
1998,33,300.7,2.3314285714285705
1983,64,301.55,2.3085714285714403
1997,364,300.72,2.3057142857143083
1983,42,301.23,2.2985714285714494
1983,59,301.36,2.2985714285714414
1983,31,300.93,2.297142857142863
1983,32,301.28,2.289999999999988
1983,63,301.56,2.2828571428571456
1997,352,300.8,2.280000000000013
1982,354,300.88,2.280000000000005
1983,1,300.71,2.2742857142857167
1983,76,301.28,2.2742857142856843
1983,26,301.03,2.269999999999974
1982,351,300.98,2.2628571428571718
1998,21,300.85,2.2571428571428833
1998,142,301.17,2.2500000000000164
1984,338,296.9,2.247142857142884
1998,98,301.75,2.2385714285714307
1983,39,301.18,2.2371428571428686
1983,5,300.88,2.2371428571428527
1983,14,300.8,2.2357142857142907
1983,78,301.5,2.23285714285715
1997,309,300.42,2.2271428571428697
1983,62,301.36,2.2242857142857297
1983,9,300.93,2.2242857142857213
2007,313,296.73,2.221428571428557
1998,37,300.72,2.2114285714285984
1998,14,300.37,2.202857142857153
1998,99,301.55,2.202857142857153
1983,52,301.23,2.1942857142857326
1998,61,300.92,2.1885714285714437
1998,34,300.67,2.1885714285714357
2010,225,296.62,2.1885714285714193
1980,3,300.93,2.178571428571445
1987,338,300.36,2.1757142857143044
2010,260,296.3,2.175714285714272
1998,62,301.22,2.167142857142884
1983,56,301.48,2.1657142857142975
1983,72,301.28,2.159999999999976
1997,353,300.55,2.154285714285728
2010,294,296.75,2.1528571428571417
1983,60,301.36,2.1471428571428777
1997,342,300.55,2.141428571428581
1998,13,300.37,2.141428571428573
1998,20,300.65,2.1385714285714
