Year,Day,Temperature,Score
2007,3,292.25,14.834285714285702
1992,323,285.71,14.757142857142876
2007,2,293.4,13.807142857142878
1980,298,284.3,13.349999999999998
2006,0,294.2,12.98000000000001
1987,130,281.23,12.724285714285697
2012,8,294.7,12.595714285714296
2007,4,294.93,12.558571428571415
2001,294,287.2,12.527142857142874
1987,131,280.64,12.49142857142858
2002,38,293.77,12.20000000000002
2009,272,282.68,12.199999999999989
2012,75,291.0,11.971428571428564
2008,325,289.95,11.811428571428573
2006,31,295.38,11.738571428571438
1990,28,293.96,11.71571428571431
1992,280,283.96,11.670000000000025
2006,30,294.55,11.577142857142844
1987,20,295.99,11.44285714285713
2002,37,295.03,11.371428571428607
2003,101,288.38,11.284285714285716
2012,7,296.57,11.250000000000009
1994,59,293.36,11.078571428571422
1981,257,300.21,10.96142857142855
2004,313,290.5,10.947142857142865
2012,9,294.4,10.881428571428598
1990,121,301.18,10.841428571428585
2009,304,304.95,10.722857142857135
1980,299,286.41,10.675714285714255
2000,118,285.5,10.641428571428573
1981,256,301.3,10.621428571428583
2006,1,295.85,10.607142857142833
1987,304,289.1,10.601428571428544
2008,326,291.83,10.597142857142874
2010,171,294.22,10.580000000000025
1981,254,301.91,10.504285714285743
2008,327,292.85,10.501428571428553
1995,312,288.41,10.499999999999975
2008,319,293.35,10.415714285714282
1988,12,296.43,10.394285714285704
1990,27,295.18,10.384285714285706
1987,305,289.55,10.378571428571425
2010,170,295.3,10.375714285714293
2000,119,285.62,10.347142857142858
2006,117,286.18,10.344285714285709
1994,58,293.03,10.314285714285736
2006,278,302.78,10.257142857142826
2008,84,291.7,10.24
2000,21,296.42,10.225714285714284
1992,322,288.96,10.22428571428573
2002,59,293.27,10.198571428571443
1992,228,278.88,10.194285714285709
2001,293,288.97,10.188571428571388
2012,10,295.15,10.141428571428596
1986,223,278.84,10.14142857142859
2008,109,288.73,10.138571428571408
1988,32,296.18,10.119999999999996
1995,294,290.1,10.117142857142833
1981,255,301.91,10.102857142857156
1992,229,279.25,10.047142857142846
1998,157,295.9,10.024285714285684
2012,270,285.18,10.008571428571429
1990,338,291.41,9.99428571428568
1995,311,289.6,9.984285714285695
2012,76,291.78,9.925714285714312
1990,122,301.28,9.922857142857115
1984,77,293.38,9.915714285714298
1980,269,302.21,9.901428571428548
2008,85,290.13,9.82142857142858
2013,303,305.3,9.795714285714293
1982,80,291.78,9.788571428571458
2009,113,287.85,9.765714285714255
1990,46,295.93,9.754285714285711
1980,306,291.36,9.742857142857124
1985,109,289.33,9.72714285714287
2009,186,292.53,9.721428571428541
1990,45,296.03,9.674285714285734
2006,116,287.16,9.674285714285702
1991,316,288.06,9.658571428571422
1992,279,283.11,9.648571428571406
1991,308,290.23,9.62428571428569
1980,111,285.58,9.614285714285732
2004,291,306.28,9.597142857142826
2010,84,307.25,9.594285714285718
1998,208,278.1,9.579999999999968
1991,258,282.96,9.56714285714286
2000,1,296.15,9.561428571428605
2003,322,291.63,9.56142857142859
2012,11,296.28,9.528571428571443
1989,298,288.48,9.52857142857142
2003,62,293.55,9.51999999999999
2006,279,302.23,9.514285714285734
1979,144,280.83,9.510000000000023
2006,217,295.08,9.505714285714273
1998,51,310.25,9.492857142857149
2012,13,297.3,9.479999999999986
2003,61,293.18,9.474285714285713
1992,324,291.98,9.425714285714255
2006,241,295.55,9.370000000000005
2000,294,290.8,9.34285714285714
1998,264,284.75,9.320000000000002
1989,114,287.23,9.315714285714266
2007,85,291.63,9.31142857142858
2004,240,281.02,9.301428571428582
1986,224,279.04,9.28428571428569
1999,349,293.77,9.280000000000014
1995,239,299.53,9.275714285714262
