Year,Day,Temperature,Score
2007,278,269.18,7.311428571428564
1992,243,268.78,7.024285714285741
1988,252,267.61,6.817142857142836
1987,174,270.49,6.2099999999999955
1992,233,268.78,5.885714285714316
1992,218,267.63,5.852857142857155
1992,232,268.36,5.834285714285711
2007,255,269.63,5.81000000000001
1981,210,279.11,5.7085714285714415
1984,263,268.61,5.674285714285686
2011,157,279.9,5.494285714285695
2007,264,269.3,5.448571428571419
2013,272,279.32,5.36285714285713
2000,113,271.65,5.355714285714295
1983,193,270.88,5.354285714285717
1988,301,270.71,5.328571428571455
1998,243,269.65,5.252857142857173
1979,216,270.1,5.228571428571407
2005,268,270.05,5.215714285714276
1997,224,269.74,5.2042857142857235
1996,211,270.61,5.155714285714274
1992,286,270.5,5.152857142857142
1997,253,277.37,5.148571428571439
1997,254,278.64,5.119999999999981
2005,267,269.5,5.09142857142857
2004,244,276.85,5.090000000000024
2000,200,270.52,5.0371428571428725
2012,184,272.5,5.032857142857138
1992,275,269.88,5.00285714285714
1994,241,270.73,4.984285714285696
2012,232,270.02,4.977142857142878
2010,246,278.52,4.972857142857118
1979,214,279.55,4.96714285714287
2011,2,281.97,4.941428571428601
2006,237,278.63,4.93857142857142
2003,285,271.03,4.922857142857173
2010,279,279.62,4.90857142857143
1985,158,271.78,4.8700000000000285
2013,250,270.87,4.862857142857138
2010,120,273.5,4.848571428571428
2002,266,269.25,4.82714285714286
1989,131,271.93,4.814285714285704
1996,232,277.55,4.808571428571432
1996,218,277.38,4.7957142857142765
1993,185,279.13,4.781428571428568
2001,217,279.8,4.779999999999997
1979,274,269.73,4.777142857142841
1984,235,270.75,4.772857142857155
1993,242,278.38,4.76571428571428
2012,169,272.5,4.764285714285701
1997,189,279.25,4.762857142857148
2008,137,279.97,4.745714285714314
1995,201,269.55,4.729999999999985
1980,247,270.48,4.7042857142857075
2010,265,277.15,4.684285714285685
2007,151,280.85,4.671428571428594
1980,266,279.11,4.650000000000018
1981,245,278.6,4.641428571428597
1995,197,270.38,4.640000000000002
1988,217,270.36,4.6299999999999875
1984,186,270.61,4.622857142857137
1988,289,271.03,4.6185714285714665
1995,224,277.98,4.6171428571428645
1996,145,280.3,4.6157142857143025
2012,157,271.08,4.585714285714297
2000,120,272.92,4.572857142857117
2006,170,272.7,4.565714285714299
1999,267,269.77,4.565714285714299
2006,279,278.98,4.5442857142857305
1998,113,279.82,4.529999999999997
2003,178,279.32,4.528571428571427
1982,143,272.46,4.522857142857155
1992,235,271.0,4.522857142857155
2002,25,281.05,4.514285714285718
1990,109,280.23,4.508571428571445
2003,254,269.48,4.507142857142834
1989,239,269.83,4.494285714285728
1997,179,271.3,4.492857142857125
1991,170,279.18,4.485714285714282
1985,174,279.41,4.480000000000026
2012,167,272.88,4.474285714285713
1991,220,270.65,4.467142857142887
1994,203,270.83,4.467142857142879
2006,155,272.33,4.441428571428593
1990,177,271.58,4.434285714285726
2005,89,273.13,4.431428571428577
1985,144,279.25,4.425714285714288
2002,279,270.6,4.422857142857124
1979,120,280.28,4.417142857142835
1995,227,277.93,4.412857142857149
1999,224,277.72,4.407142857142868
2007,279,272.28,4.401428571428604
1985,175,279.55,4.397142857142861
2006,234,278.95,4.395714285714283
2012,217,270.78,4.385714285714308
2010,130,273.07,4.385714285714292
1999,165,271.57,4.385714285714292
2012,199,272.1,4.3814285714285495
2005,183,279.05,4.377142857142863
1996,137,279.93,4.3685714285714425
1994,222,269.88,4.3685714285714345
1979,259,270.96,4.361428571428584
1982,201,272.11,4.358571428571411
2007,269,278.78,4.354285714285685
1987,329,273.03,4.345714285714304
1986,301,278.76,4.335714285714281
2000,210,271.85,4.331428571428554
1982,166,272.48,4.329999999999976
1989,132,272.8,4.328571428571422
2000,160,278.82,4.311428571428564
2012,128,280.43,4.301428571428581
1996,233,277.75,4.300000000000011
1993,184,278.75,4.2942857142857065
2006,287,271.63,4.289999999999988
2007,263,271.13,4.2885714285714425
1997,210,278.55,4.284285714285724
2009,233,269.93,4.284285714285708
2002,199,278.25,4.279999999999989
1984,277,269.8,4.261428571428561
2001,312,278.89,4.247142857142852
1996,172,279.63,4.245714285714281
1980,71,281.61,4.235714285714299
1990,217,277.73,4.23000000000001
2005,118,281.23,4.224285714285729
