Year,Day,Temperature,Score
1992,349,297.38,2.57571428571429
1983,84,297.03,2.312857142857175
1983,103,297.28,2.198571428571451
1983,57,296.91,2.1542857142856797
1990,347,301.36,2.1285714285714414
1988,310,298.0,2.068571428571431
1987,15,297.21,2.064285714285745
1992,348,297.78,2.05285714285716
1997,364,297.4,1.9985714285714462
2000,164,298.0,1.9614285714285822
1983,73,297.53,1.9471428571428728
2013,76,297.37,1.9271428571428584
1983,43,297.3,1.9128571428571328
1988,321,298.36,1.8999999999999935
1988,295,298.4,1.8757142857143012
1998,91,297.32,1.8628571428571377
1983,45,297.58,1.8600000000000219
2006,323,302.03,1.8557142857142546
1999,179,297.9,1.8542857142857412
1992,332,297.88,1.8528571428571468
1980,56,300.58,1.8514285714285523
2010,313,298.43,1.8271428571428519
2009,71,297.41,1.8271428571428276
1998,109,297.37,1.8228571428571334
1988,290,298.46,1.8200000000000256
1983,56,297.38,1.8057142857142918
2002,242,301.93,1.8057142857142918
1990,335,301.13,1.7928571428571363
1987,67,297.59,1.7871428571428802
1983,30,297.23,1.7871428571428396
1980,55,300.46,1.7857142857142694
1993,6,297.68,1.7799999999999971
1992,22,297.43,1.772857142857122
1988,314,298.41,1.7685714285714116
1981,356,297.66,1.761428571428553
1998,110,297.5,1.759999999999991
2002,167,301.22,1.7585714285714533
2010,270,298.78,1.7500000000000244
1998,105,297.47,1.7471428571428436
1998,89,297.52,1.7457142857143058
1982,102,300.86,1.7300000000000182
2007,324,298.78,1.727142857142878
1988,329,298.28,1.7214285714286055
1983,28,297.33,1.7171428571428788
1985,71,297.48,1.712857142857128
1988,296,298.61,1.7085714285714093
1980,94,300.56,1.7000000000000048
2009,319,301.58,1.6971428571428484
1983,44,297.55,1.6871428571428493
2011,325,298.42,1.6814285714285526
1983,29,297.46,1.6785714285714366
1983,83,297.75,1.6771428571428584
2011,321,298.55,1.6714285714285617
1998,104,297.49,1.6699999999999997
2008,345,298.08,1.6671428571428675
2002,168,301.28,1.6657142857142568
