Year,Day,Temperature,Score
2004,62,303.1,13.935714285714296
1979,91,306.43,13.365714285714294
1993,106,307.16,13.097142857142883
2000,101,305.02,12.081428571428555
1991,74,300.28,11.837142857142835
2010,66,300.58,11.652857142857117
2008,81,303.25,11.5
2005,28,297.85,11.47428571428573
1994,108,306.25,11.372857142857145
1994,109,304.61,11.29000000000002
1981,112,304.36,11.201428571428599
1998,104,304.32,11.168571428571429
1985,118,307.05,11.042857142857153
1994,110,302.73,11.021428571428592
1993,103,303.86,10.877142857142863
1979,79,300.86,10.710000000000004
2005,60,300.77,10.682857142857115
2008,82,300.15,10.498571428571397
2010,128,305.0,10.467142857142855
2008,112,302.83,10.337142857142842
1991,131,304.63,10.327142857142869
2003,93,302.43,10.314285714285713
1990,303,304.38,10.2742857142857
1982,91,302.8,10.254285714285727
2010,47,297.52,10.209999999999988
1981,113,303.41,10.201428571428591
1991,118,305.08,10.182857142857122
2008,79,300.5,10.15428571428572
2004,58,299.46,10.107142857142833
1996,130,305.5,10.08571428571428
2010,49,297.2,10.001428571428562
2011,69,283.9,9.945714285714311
1981,111,302.13,9.891428571428557
1993,105,303.88,9.850000000000007
1992,100,303.03,9.849999999999966
2010,50,296.95,9.78142857142856
1991,108,304.11,9.7157142857143
2002,69,298.03,9.675714285714264
1991,112,302.93,9.642857142857151
1997,111,302.67,9.56714285714287
1987,17,295.31,9.341428571428569
2008,111,304.73,9.300000000000027
2010,48,295.83,9.231428571428555
2003,134,304.68,9.205714285714294
2012,95,302.0,9.185714285714296
2012,96,301.88,9.144285714285704
2013,73,297.72,9.075714285714314
1998,103,301.37,9.075714285714282
1988,170,308.46,9.065714285714266
1979,90,302.28,9.031428571428544
1985,8,295.83,8.964285714285698
1981,76,298.33,8.921428571428553
2011,68,283.03,8.874285714285739
2010,45,295.45,8.86571428571427
1990,115,302.11,8.850000000000014
2013,70,299.15,8.847142857142833
2010,91,300.57,8.820000000000002
1993,104,302.18,8.807142857142878
1994,111,302.68,8.772857142857147
1998,101,300.7,8.76999999999999
1991,75,297.41,8.738571428571463
1995,181,309.41,8.732857142857174
2012,97,300.78,8.689999999999973
1998,102,302.37,8.640000000000002
1995,72,297.48,8.611428571428585
1981,114,301.48,8.577142857142885
1993,134,305.3,8.560000000000027
2013,72,297.4,8.555714285714268
2003,297,302.98,8.538571428571442
2010,134,304.15,8.535714285714262
1988,179,309.05,8.520000000000014
2011,105,301.5,8.520000000000007
1991,130,303.73,8.404285714285736
2013,148,307.05,8.40000000000001
2009,38,293.8,8.39142857142859
2008,48,281.05,8.321428571428555
2008,80,299.5,8.301428571428573
2004,128,303.71,8.245714285714257
2001,111,301.22,8.228571428571447
1981,75,298.06,8.222857142857151
2010,69,299.78,8.202857142857113
2000,90,299.2,8.149999999999986
2010,286,304.45,8.104285714285709
1985,119,302.18,8.092857142857156
2003,54,282.05,8.08285714285714
1995,178,307.86,8.081428571428587
2008,140,304.06,8.067142857142853
1984,60,294.93,8.062857142857158
2010,133,304.78,8.04999999999997
2010,107,302.0,8.048571428571424
2003,91,299.15,8.009999999999982
1985,141,306.46,7.978571428571415
2002,68,296.9,7.9699999999999624
2005,110,302.68,7.945714285714287
2010,43,296.15,7.945714285714262
2001,145,305.15,7.871428571428543
1997,105,288.95,7.858571428571436
1997,112,299.87,7.855714285714295
2003,94,300.38,7.854285714285709
1995,164,308.38,7.852857142857131
2004,90,299.96,7.849999999999974
2010,108,301.7,7.847142857142842
1987,125,304.13,7.839999999999999
2002,94,299.97,7.815714285714291
2006,117,301.48,7.801428571428589
2003,83,282.07,7.7942857142857145
2006,81,299.68,7.781428571428576
1998,35,293.95,7.76571428571428
1993,258,306.63,7.711428571428574
2010,171,309.42,7.7085714285714415
2008,49,281.93,7.67571428571428
2010,291,303.02,7.675714285714272
1984,131,304.28,7.6285714285714095
1995,108,289.86,7.621428571428559
2010,126,302.83,7.618571428571419
1997,104,289.02,7.614285714285724
2001,86,297.27,7.608571428571395
1994,138,304.53,7.565714285714258
1979,88,299.86,7.551428571428597
1998,124,302.99,7.5457142857142925
2010,109,301.12,7.5442857142857145
1981,110,301.0,7.527142857142857
2005,27,294.25,7.519999999999998
1986,33,293.56,7.519999999999998
1981,122,302.33,7.51428571428571
2005,94,287.0,7.484285714285712
2013,142,305.22,7.472857142857175
1991,73,295.15,7.4628571428571275
1979,303,300.33,7.4571428571428395
1981,108,302.16,7.432857142857172
2010,44,295.72,7.427142857142883
1996,72,295.68,7.42285714285714
1983,106,288.5,7.405714285714282
2002,104,301.0,7.3785714285714255
1979,78,297.13,7.3757142857142854
2008,110,302.43,7.3728571428571446
2004,61,297.55,7.361428571428584
1998,123,301.97,7.351428571428593
1993,107,301.55,7.332857142857149
1997,137,303.72,7.330000000000025
2002,103,302.32,7.322857142857133
1986,157,306.74,7.279999999999997
2001,59,295.52,7.279999999999981
1996,262,306.46,7.262857142857123
2010,135,303.87,7.251428571428578
1985,13,293.61,7.21714285714287
1983,64,282.68,7.2114285714285575
2002,67,295.7,7.2071428571428475
1995,103,288.55,7.195714285714287
1997,106,290.57,7.187142857142866
2000,94,300.15,7.185714285714263
1987,53,294.01,7.158571428571414
2013,138,304.83,7.147142857142845
1990,116,302.15,7.1342857142856815
1979,170,306.63,7.1285714285714255
2004,57,295.8,7.1257142857142854
2012,60,283.77,7.121428571428599
2007,121,301.75,7.087142857142859
1987,115,289.09,7.078571428571455
2003,6,292.85,7.061428571428588
2006,152,305.43,7.050000000000003
1991,91,297.93,7.0457142857142925
1983,122,301.78,7.0428571428571285
2005,93,286.6,7.025714285714271
1995,115,298.8,7.014285714285734
2007,308,300.65,7.011428571428553
2000,296,289.27,7.010000000000007
2002,128,301.02,7.008571428571405
2001,81,295.62,6.994285714285719
2013,329,298.87,6.98142857142858
1997,98,285.72,6.975714285714259
1985,74,296.58,6.968571428571416
2004,125,303.58,6.941428571428552
1987,124,302.02,6.914285714285703
1997,6,293.42,6.912857142857165
1985,88,297.4,6.892857142857126
2010,28,292.97,6.875714285714301
1988,134,303.46,6.861428571428552
2010,29,292.8,6.855714285714295
2002,5,280.95,6.850000000000023
1995,161,305.56,6.824285714285712
1990,334,295.83,6.824285714285703
2001,85,295.67,6.818571428571439
2007,81,297.08,6.807142857142845
1997,109,298.12,6.784285714285716
2003,304,300.15,6.784285714285683
1991,86,299.13,6.781428571428568
2001,136,292.19,6.774285714285725
1986,66,294.21,6.764285714285693
1994,107,301.08,6.761428571428553
2006,79,296.53,6.759999999999983
1979,48,295.41,6.754285714285751
2011,106,300.97,6.740000000000017
2003,112,299.52,6.739999999999985
2006,308,288.53,6.728571428571448
1996,247,306.83,6.728571428571415
1983,49,282.48,6.727142857142837
2001,65,294.65,6.7142857142856895
2001,359,293.1,6.7014285714285915
1982,280,302.61,6.700000000000013
1996,117,299.38,6.698571428571427
2001,58,294.1,6.694285714285725
2003,82,284.32,6.694285714285717
1989,113,300.33,6.682857142857123
1997,100,286.12,6.678571428571429
1991,90,296.53,6.677142857142834
2011,70,285.57,6.672857142857148
2002,271,304.37,6.667142857142868
1981,14,292.18,6.667142857142859
1990,305,300.68,6.645714285714291
1981,131,303.83,6.641428571428556
2010,72,295.15,6.627142857142839
1998,86,286.42,6.618571428571419
1995,157,305.25,6.575714285714282
1993,259,304.9,6.574285714285687
1985,125,303.38,6.562857142857142
2011,159,306.3,6.561428571428588
2008,65,297.75,6.555714285714283
1991,132,302.68,6.555714285714283
2003,55,282.47,6.5499999999999705
1999,107,299.99,6.5471428571428545
2012,61,284.95,6.5414285714285745
2011,160,305.87,6.5414285714285745
2002,258,305.6,6.5400000000000285
2000,89,298.07,6.538571428571418
1998,87,286.4,6.5371428571428805
2010,92,298.97,6.521428571428609
1980,109,302.16,6.520000000000031
2011,353,281.78,6.517142857142882
2001,84,294.97,6.507142857142883
2013,69,297.8,6.505714285714289
2004,129,300.63,6.501428571428562
1992,54,281.18,6.494285714285711
1995,179,305.93,6.480000000000018
2010,0,293.02,6.479999999999994
2011,33,292.97,6.462857142857176
2012,38,281.53,6.445714285714311
1983,63,283.43,6.43999999999999
1996,37,293.3,6.430000000000015
2002,209,309.2,6.418571428571421
1990,306,298.53,6.414285714285695
1996,107,289.98,6.412857142857133
1999,47,294.74,6.405714285714298
1980,102,289.5,6.397142857142861
2004,87,297.75,6.3814285714285734
2003,298,301.0,6.3685714285714345
2000,297,289.97,6.365714285714262
1991,146,293.88,6.360000000000006
2010,127,301.1,6.352857142857163
1988,178,306.38,6.345714285714288
2005,29,292.68,6.344285714285726
1985,7,292.31,6.344285714285718
1990,304,300.98,6.337142857142875
2002,6,281.43,6.335714285714289
1999,86,296.3,6.322857142857133
1997,99,285.42,6.319999999999985
1981,29,280.93,6.307142857142862
1987,31,293.69,6.2971428571428545
1993,87,287.9,6.295714285714309
2011,352,282.25,6.2957142857142845
1984,137,302.46,6.2928571428571205
1986,301,298.61,6.2900000000000285
2010,51,294.07,6.288571428571426
2010,167,305.67,6.285714285714302
1992,53,281.08,6.282857142857162
2003,359,281.68,6.277142857142857
1990,150,304.88,6.275714285714279
1993,313,297.71,6.269999999999974
2001,88,297.49,6.260000000000007
2004,94,289.68,6.259999999999999
2010,60,295.47,6.250000000000024
1990,310,299.28,6.249999999999967
1984,141,303.68,6.234285714285728
1997,171,304.6,6.227142857142878
1988,144,305.21,6.222857142857118
2012,103,300.97,6.218571428571449
