Year,Day,Temperature,Score
1993,209,269.83,7.90714285714286
1993,210,270.23,7.501428571428554
1984,227,269.58,7.235714285714299
1989,256,270.66,6.681428571428545
2001,230,271.17,6.43857142857142
1985,222,271.63,6.351428571428577
1999,226,271.27,6.318571428571447
1985,221,271.61,6.2985714285714005
1990,182,271.48,6.261428571428553
1985,294,271.46,6.195714285714303
2008,332,273.73,6.171428571428562
1999,225,271.27,6.135714285714308
1996,207,272.08,5.960000000000028
1989,222,270.93,5.935714285714279
1989,257,271.4,5.925714285714313
2003,238,270.98,5.907142857142836
1988,275,272.88,5.892857142857151
1989,240,270.98,5.838571428571405
2011,131,272.02,5.812857142857167
2011,51,275.02,5.675714285714305
1998,286,271.72,5.6328571428571195
1983,59,284.13,5.574285714285728
1989,237,270.23,5.572857142857117
2010,280,272.1,5.521428571428552
2008,219,280.47,5.440000000000022
2010,177,271.37,5.434285714285717
2008,201,272.28,5.431428571428593
2004,319,273.52,5.398571428571439
2004,318,273.68,5.385714285714276
1996,187,272.0,5.3771428571428554
1993,119,272.61,5.369999999999989
1985,265,271.73,5.287142857142848
2006,109,274.5,5.279999999999997
1999,134,272.77,5.275714285714303
2013,189,272.67,5.225714285714259
1989,185,272.86,5.197142857142849
2011,4,274.95,5.195714285714295
1989,220,271.86,5.1942857142857
1981,170,272.11,5.181428571428553
1985,203,272.5,5.1328571428571355
1996,144,274.13,5.1242857142857146
1996,270,271.71,5.121428571428599
2011,158,273.47,5.102857142857114
1982,291,280.98,5.074285714285744
1999,224,272.32,5.068571428571447
2009,78,274.65,5.061428571428588
2010,77,283.82,5.055714285714275
2007,285,273.65,5.052857142857176
1981,197,271.25,5.009999999999991
2008,220,279.95,5.007142857142843
1993,222,272.0,5.0
1983,42,283.88,4.998571428571414
1993,193,273.0,4.972857142857135
1998,289,272.97,4.9614285714285415
1985,260,273.11,4.9571428571428475
1982,252,272.06,4.951428571428567
2008,252,271.78,4.9500000000000295
1991,259,272.66,4.927142857142834
1986,288,273.09,4.924285714285743
2008,202,272.6,4.8871428571428295
2009,161,273.68,4.8785714285714175
2013,180,272.65,4.877142857142879
1983,58,283.28,4.874285714285691
2011,157,272.97,4.872857142857113
1996,105,274.93,4.86571428571427
1985,293,271.88,4.862857142857146
2005,225,272.7,4.851428571428577
2013,131,281.35,4.850000000000023
1995,120,273.43,4.849999999999999
2003,207,272.45,4.847142857142866
1999,116,273.32,4.837142857142867
2011,50,276.12,4.822857142857141
1990,188,271.91,4.819999999999977
1983,64,284.21,4.807142857142829
1997,238,272.22,4.807142857142829
1999,259,272.57,4.801428571428589
1991,263,272.63,4.800000000000003
1982,213,271.83,4.7900000000000205
1985,291,272.46,4.7900000000000205
1992,250,272.35,4.757142857142826
1999,75,275.05,4.754285714285702
2004,317,273.83,4.751428571428603
1993,194,272.88,4.742857142857149
1987,265,280.3,4.738571428571431
1993,211,273.43,4.728571428571423
1983,65,283.36,4.72714285714287
1995,121,273.58,4.71714285714287
1998,288,272.99,4.714285714285706
1993,223,272.41,4.675714285714264
1981,118,272.68,4.664285714285703
1999,260,272.42,4.659999999999984
2001,279,272.52,4.655714285714315
1986,63,275.71,4.65428571428572
2008,264,272.9,4.648571428571448
1979,325,274.03,4.634285714285738
2011,159,274.15,4.630000000000019
2003,239,272.55,4.6299999999999955
2009,160,274.28,4.624285714285755
1999,154,273.39,4.6171428571428645
1982,128,274.43,4.612857142857138
2001,355,274.37,4.611428571428568
1986,285,274.11,4.604285714285709
1983,43,283.75,4.59142857142857
2010,74,283.97,4.575714285714322
1979,250,272.13,4.57571428571429
1985,99,275.38,4.570000000000001
1997,220,272.22,4.564285714285688
2007,19,283.53,4.551428571428549
2007,161,281.38,4.5471428571428545
1999,155,273.05,4.5471428571428385
2011,133,273.82,4.531428571428576
1993,208,272.75,4.484285714285712
1990,134,273.58,4.475714285714299
1986,177,272.73,4.475714285714267
1999,310,274.07,4.4528571428571455
2010,304,273.67,4.451428571428559
2009,332,282.75,4.434285714285701
1986,289,273.31,4.429999999999999
1989,216,272.93,4.428571428571421
1981,169,272.55,4.402857142857134
1986,284,274.24,4.387142857142846
2010,27,283.12,4.3828571428571435
2010,107,281.65,4.374285714285699
2008,250,273.33,4.364285714285724
1994,231,280.06,4.362857142857146
2012,336,282.5,4.361428571428568
1980,169,272.61,4.351428571428561
2002,134,281.8,4.344285714285742
1996,229,272.23,4.341428571428553
1996,208,272.43,4.339999999999991
1993,221,272.41,4.338571428571397
2010,254,273.0,4.337142857142859
2012,211,279.98,4.334285714285727
1982,93,275.21,4.331428571428595
2013,160,273.85,4.329999999999984
2011,306,273.42,4.329999999999984
1979,83,274.86,4.322857142857133
2013,175,272.6,4.318571428571415
1979,326,274.38,4.315714285714299
2001,331,274.62,4.315714285714274
2011,130,273.6,4.314285714285688
2007,148,281.3,4.301428571428581
1983,53,283.75,4.301428571428573
2000,147,273.7,4.298571428571441
2013,224,273.02,4.295714285714317
1992,288,273.58,4.2914285714285905
2013,5,283.65,4.291428571428534
1996,272,273.41,4.289999999999972
2009,132,273.18,4.28857142857141
2008,313,274.63,4.287142857142864
1984,193,274.0,4.274285714285717
2012,116,274.32,4.272857142857163
1990,127,274.86,4.262857142857131
2001,229,273.52,4.250000000000024
2011,346,274.5,4.24571428571429
1983,195,272.43,4.244285714285711
1987,114,274.79,4.238571428571406
1995,210,280.41,4.235714285714307
1985,109,274.41,4.229999999999977
1983,299,274.83,4.220000000000011
2009,64,276.1,4.219999999999986
1983,135,280.9,4.2099999999999715
2004,255,273.07,4.2057142857143015
2010,108,282.15,4.205714285714261
2006,110,275.58,4.2042857142857235
1996,250,273.23,4.199999999999981
1989,198,272.88,4.194285714285717
1991,217,279.46,4.192857142857114
2010,157,273.77,4.187142857142866
1994,53,275.91,4.187142857142841
1988,237,279.08,4.179999999999991
1992,118,281.43,4.175714285714288
1983,300,274.78,4.174285714285735
1993,198,272.61,4.174285714285702
2006,148,274.1,4.174285714285686
1986,264,273.06,4.17285714285714
1999,200,272.39,4.165714285714306
1989,187,273.16,4.164285714285695
2000,149,274.02,4.162857142857173
1996,145,274.63,4.162857142857149
1990,161,273.63,4.155714285714282
1984,239,272.55,4.154285714285704
2010,86,282.12,4.15142857142858
1999,261,272.87,4.145714285714275
1992,127,282.03,4.14428571428568
1983,66,283.46,4.142857142857126
2011,3,275.7,4.14000000000001
1992,122,281.33,4.1342857142856975
1994,174,274.11,4.1342857142856895
1999,115,273.85,4.1314285714285575
1998,303,272.87,4.1299999999999955
1993,139,274.73,4.1299999999999875
1983,57,282.88,4.1285714285714175
2007,350,275.35,4.125714285714261
2007,319,281.15,4.124285714285699
1988,274,273.91,4.122857142857121
2011,132,273.4,4.1200000000000045
1998,285,273.92,4.11714285714284
1992,192,280.48,4.11000000000003
2011,5,276.3,4.108571428571428
2011,186,272.65,4.104285714285733
2004,286,280.43,4.104285714285725
1983,44,283.11,4.100000000000015
2000,38,276.1,4.094285714285694
2009,108,275.13,4.088571428571429
1985,204,273.61,4.087142857142843
1989,217,272.61,4.087142857142843
2013,130,280.95,4.085714285714273
1992,132,280.4,4.085714285714256
1979,211,272.36,4.081428571428554
1983,186,281.25,4.077142857142852
2008,256,272.3,4.069999999999985
2000,32,276.42,4.065714285714283
2007,44,283.63,4.065714285714283
2000,148,274.1,4.06285714285711
2011,52,275.35,4.059999999999978
2007,320,281.03,4.058571428571407
2003,299,273.45,4.057142857142862
1996,282,273.3,4.057142857142854
1986,222,279.84,4.057142857142829
1996,266,273.71,4.055714285714308
2010,281,273.78,4.052857142857176
1985,220,273.16,4.052857142857119
2004,219,272.13,4.051428571428581
1983,315,274.98,4.0514285714285405
1989,125,273.71,4.050000000000019
1991,216,279.55,4.048571428571441
2010,150,274.57,4.0457142857142925
1996,300,273.91,4.0442857142856905
1999,148,273.55,4.0428571428571205
1996,76,275.0,4.0385714285714345
1990,126,274.91,4.03571428571427
2012,268,273.25,4.034285714285716
2005,226,273.98,4.029999999999973
1996,271,272.85,4.025714285714263
2010,344,282.03,4.019999999999982
2007,241,273.4,4.017142857142874
2007,149,281.43,4.017142857142866
1996,77,275.18,4.01714285714285
2001,286,273.82,4.011428571428577
1995,187,274.08,4.010000000000015
1982,47,283.0,4.010000000000007
2000,275,273.52,4.008571428571462
1998,287,273.27,3.997142857142884
2003,98,274.95,3.9971428571428596
1992,176,280.4,3.9871428571428362
1992,249,273.33,3.98285714285715
1984,200,272.61,3.981428571428548
2010,87,281.77,3.9799999999999938
2009,256,272.68,3.972857142857135
2012,278,280.02,3.9685714285714084
1995,358,276.48,3.965714285714252
2000,109,275.39,3.957142857142872
2003,304,274.08,3.9571428571428635
1997,83,275.77,3.9542857142857395
2007,160,281.13,3.954285714285699
1982,293,279.71,3.954285714285699
1990,150,273.96,3.950000000000021
2000,194,273.45,3.9457142857142946
2001,247,273.47,3.945714285714262
2013,194,273.07,3.9442857142857326
2012,155,281.53,3.9442857142856758
1989,109,274.5,3.9357142857142793
1985,280,274.43,3.9357142857142793
2012,132,273.75,3.9199999999999915
1993,132,273.71,3.9142857142857355
2010,79,282.07,3.912857142857141
2009,81,275.2,3.910000000000017
2013,55,282.97,3.9071428571428846
1985,269,273.36,3.8885714285714164
1984,219,279.05,3.8871428571428788
2002,290,280.4,3.887142857142838
1990,209,274.46,3.8857142857143003
1986,62,275.89,3.8842857142857303
2005,89,281.95,3.875714285714269
1990,183,274.08,3.872857142857153
2011,62,276.95,3.8700000000000125
2013,227,272.97,3.8671428571428317
1996,251,273.28,3.864285714285732
2010,76,282.77,3.8599999999999732
2010,124,280.35,3.857142857142865
1991,90,275.96,3.855714285714311
2013,171,281.05,3.852857142857163
2002,176,280.18,3.8514285714285768
1995,205,280.96,3.8499999999999903
1986,232,272.84,3.8485714285714607
1990,237,272.63,3.84428571428571
1985,100,275.73,3.839999999999983
1999,50,276.4,3.8385714285714454
1999,296,274.24,3.837142857142851
1985,111,274.36,3.8371428571428345
1980,73,282.46,3.8342857142856945
1982,204,280.25,3.8300000000000005
1988,116,275.48,3.8257142857142736
2003,148,279.9,3.821428571428547
1991,355,281.9,3.8199999999999688
1991,240,279.85,3.817142857142877
1997,251,280.39,3.8171428571428527
2012,131,274.35,3.8157142857142747
